species_indonesia,species_english,species_scientific,search_keywords,min_images,prioritas,fish_group,habitat_type,ornamental_type,local_names
Kelomang bulu merah,hermit crab,Dardanus lagopodes,Kelomang bulu merah; hermit crab; Dardanus lagopodes; hermit crab fish,50,LOW,Kepiting,LAUT,HIAS,omang-omang
Kelomang bintik putih,white-spotted hermit crab,Dardanus megistos,Kelomang bintik putih; white-spotted hermit crab; Dardanus megistos; white-spotted hermit crab fish,50,LOW,Kelomang,LAUT,HIAS,omang-omang besar
Kelomang bintik biru,blue knee hermit crab,Dardanus guttatus,Kelomang bintik biru; blue knee hermit crab; Dardanus guttatus; blue knee hermit crab fish,50,LOW,Kepiting,LAUT,HIAS,omang-omang
Keling kuning,canary wrasse,Halichoeres chrysus,Keling kuning; canary wrasse; Halichoeres chrysus; canary wrasse fish,50,LOW,Wrase,LAUT,HIAS,
Kelabau,carp,Osteochilus melanopleura,Kelabau; carp; Osteochilus melanopleura; carp fish,50,LOW,Nilem,TAWAR,NON HIAS,kelabau padi; hara; haro; aro
Kelomang stroberi,strawberry hermit crab,Coenobita perlatus,Kelomang stroberi; strawberry hermit crab; Coenobita perlatus; strawberry hermit crab fish,50,LOW,Kepiting,"LAUT, TERESTERIAL",HIAS,omang-omang
Kea kuning,blue-spotted spinefoot; coral rabbitfish,Siganus corallinus,Kea kuning; blue-spotted spinefoot; coral rabbitfish; Siganus corallinus,50,LOW,Baronang,LAUT,HIAS,benaeng; kea kuning
Keong mata,cats eye snail algae eater,Turbo brunneus,Keong mata; cats eye snail algae eater; Turbo brunneus; cats eye snail algae eater fish,50,LOW,Siput,"LAUT, PAYAU, TAWAR",HIAS,
Keong ratu,queen conch,Strombus gigas,Keong ratu; queen conch; Strombus gigas; queen conch fish,50,LOW,Siput,LAUT,NON HIAS,
Kepiting bakau jingga,orange mud crab,Scylla olivacea,Kepiting bakau jingga; orange mud crab; Scylla olivacea; orange mud crab fish,50,LOW,Kepiting,"LAUT, PAYAU",NON HIAS,
Kepiting bakau hijau,green mud crab,Scylla paramamosain,Kepiting bakau hijau; green mud crab; Scylla paramamosain; green mud crab fish,50,LOW,Kepiting,"LAUT, PAYAU",NON HIAS,
Kepiting bakau besar,giant mud crab; indo-pacific swamp crab,Scylla serrata,Kepiting bakau besar; giant mud crab; indo-pacific swamp crab; Scylla serrata; giant mud crab; indo-pacific swamp crab fish,50,LOW,Kepiting,"LAUT, PAYAU",NON HIAS,kepiting (jawa); katang nene (maluku tengah); ketam batu; kepiting cina; kepiting hijau
Kepiting apel merah,red apple crab,Metasesarma aubryi,Kepiting apel merah; red apple crab; Metasesarma aubryi; red apple crab fish,50,LOW,Kepiting,PAYAU,HIAS,kepiting apel merah
Keperas,beardless barb,Cyclocheilichthys apogon,Keperas; beardless barb; Cyclocheilichthys apogon; beardless barb fish,50,LOW,Barbus,TAWAR,HIAS,puhing; tengadak buin; kempras
Kepe-kepe speckled,speckled butterflyfish; citron butterfly; citron butterflyfish; citron coralfish; lemon butterflyfishÂ,Chaetodon citrinellus,Kepe-kepe speckled; speckled butterflyfish; citron butterfly; citron butterflyfish; citron coralfish; lemon butterflyfishÂ; Chaetodon citrinellus,50,LOW,Kepe-kepe,LAUT,HIAS,karang; kepekepe kering
Kepe-kepe rainford's,rainford's butterflyfish,Chaetodon rainfordi,Kepe-kepe rainford's; rainford's butterflyfish; Chaetodon rainfordi,50,LOW,Kepe-kepe,LAUT,HIAS,kepe-kepe
Kepe-kepe raccoon,racoon coralfish; raccoon butterflyfish; raccoon butterfly; racoon butterflyfish; redstriped butterflyfish; moon butterfly fish; halfmoon butterflyfish; moon butterflyfishÂ,Chaetodon lunula,Kepe-kepe raccoon; racoon coralfish; raccoon butterflyfish; raccoon butterfly; racoon butterflyfish; redstriped butterflyfish; moon butterfly fish; halfmoon butterflyfish; moon butterflyfishÂ; Chaetodon lunula,50,LOW,Kepe-kepe,LAUT,HIAS,kepe gajah
Keong mata sembilan,variable abalone,Haliotis varia,Keong mata sembilan; variable abalone; Haliotis varia; variable abalone fish,50,LOW,Siput,LAUT,NON HIAS,
Kepe-kepe,six-spined coralfish; six-spined butterfly fish,Parachaetodon ocellatus,Kepe-kepe; six-spined coralfish; six-spined butterfly fish; Parachaetodon ocellatus,50,LOW,Kepe-kepe,LAUT,NON HIAS,kaha-kaha putih; kambe-kambe; monalisa; tapi-tapi cura; rui-rui
Kepala kambing,hornet helmet shell,Cassis cornuta,Kepala kambing; hornet helmet shell; Cassis cornuta; hornet helmet shell fish,50,LOW,Siput,LAUT,NON HIAS,
Keong topi,limpet algae eater,Cellana eucosmia,Keong topi; limpet algae eater; Cellana eucosmia; limpet algae eater fish,50,LOW,Siput,"LAUT, PAYAU, TAWAR",NON HIAS,
Keong telor,egg grazer white porcelain snail,Ovula ovum,Keong telor; egg grazer white porcelain snail; Ovula ovum; egg grazer white porcelain snail fish,50,LOW,Siput,"LAUT, PAYAU, TAWAR",HIAS,
Keong tectus,fenestrate top shell,Tectus fenestratus,Keong tectus; fenestrate top shell; Tectus fenestratus; fenestrate top shell fish,50,LOW,Kerang,"LAUT, PAYAU, TAWAR",HIAS,
Keong tanduk,actor top shell,Trochus histrio,Keong tanduk; actor top shell; Trochus histrio; actor top shell fish,50,LOW,Siput,"LAUT, PAYAU, TAWAR",HIAS,
Keong susu,money cowry,Erosaria moneta,Keong susu; money cowry; Erosaria moneta; money cowry fish,50,LOW,Kerang,"LAUT, PAYAU, TAWAR",HIAS,
