id,id_ikan,id_komoditas,kode_genus,kode_species,fao_3a_code,fao_taxocode,foto1_filename,foto2_filename,nama_latin,nama_sinonim_latin,nama_umum,nama_inggris,nama_daerah,kelompok_besar,id_kelompok_besar,kelompok_indonesia,kode_kelompok_indonesia,id_kelompok_indonesia,kelompok_inggris,kode_kelompok_inggris,id_kelompok_inggris,kelompok_latin,kode_kelompok_latin,id_kelompok_latin,nama_kelompok_sdi,id_kelompok_sdi,nama_jenis_ikan,id_jenis_ikan,iucn_red_list,jenis_perairan,id_jenis_perairan,jenis_hias,id_jenis_hias,jenis_konsumsi,id_jenis_konsumsi,jenis_pemanfaatan,id_jenis_pemanfaatan,jenis_dilindungi,id_jenis_dilindungi,ket_dilindungi,jenis_dilarang,id_jenis_dilarang,ket_dilarang,status_ikan,id_status_ikan,status_komoditas,id_status_komoditas,source_data,sys_created_date,sys_updated_date,created_at,updated_at
1166,"010401030301HOPSTA01169",I010401030301HOPSTA0116901308,Hoplolatilus,starcki,HPK,1701700102,,,Hoplolatilus starcki,,Tilefish kepala biru,strarcks tile fish,,ikan karang,79,Tilefish,TILE,208,Tilefish,TILE,179,Hoplolatilus,HOPO,417,Ikan Karang,4,Pisces (ikan bersirip),1,,LAUT,1,HIAS,1,KONSUMSI,1,Hias Konsumsi,3,TIDAK,2,,TIDAK,2,,ASLI,1,Tidak dilindungi/dilarang,3,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
1167,"010401030301ISTORN01128",I010401030301ISTORN0112801309,Istigobius,ornatus,IQT,1732114603,,,Istigobius ornatus,Gobius ornatus,Bunglon sobri,ornate goby,,ikan karang,79,Gobi,GOBI,59,Goby,GOBY,65,Istigobius,ISTG,442,Ikan Karang,4,Pisces (ikan bersirip),1,,LAUT,1,HIAS,1,KONSUMSI,1,Hias Konsumsi,3,TIDAK,2,,TIDAK,2,,ASLI,1,Tidak dilindungi/dilarang,3,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
1168,"010401030301LEPVAI01073",I010401030301LEPVAI0107301310,Leptoscarus,vaigiensis,LOV,1706517102,http://md.kkp.go.id/upload/ikan/cc73003ea4339e8dd47f61f56d0419ad.10.jpg,,Leptoscarus vaigiensis,,Kakatua,"petroleum parrotfish; slender parrotfish; seagrass parrotfish; parrotfish; marbled parrotfishÂ","anglu; kleng; lembain; lama",ikan karang,79,Kakatua,KAKT,81,Parrotfish,PARR,103,Leptoscarus,LEPR,482,Ikan Karang,4,Pisces (ikan bersirip),1,"Least Concern (LC); date assessed 17 September 2009)",LAUT,1,"HIAS, NON HIAS",3,KONSUMSI,1,Hias Konsumsi,3,TIDAK,2,,TIDAK,2,,ASLI,1,Tidak dilindungi/dilarang,3,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
1169,"010401030301LETSEM01060",I010401030301LETSEM0106001311,Lethrinus,semicinctus,,,http://md.kkp.go.id/upload/ikan/a12a9b5a3e4f7e328c7abec579f2bf73.20.jpg,,Lethrinus semicinctus,,Lencam,blackblotch emperor,"popontu lausu (bajo); ketambak; lencam",ikan karang,79,Lencam,LENC,115,Emperor,EMPE,51,Lethrinus,LETH,484,Ikan Karang,4,Pisces (ikan bersirip),1,,LAUT,1,HIAS,1,KONSUMSI,1,Hias Konsumsi,3,TIDAK,2,,TIDAK,2,,ASLI,1,Tidak dilindungi/dilarang,3,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
1170,"010401030301LIODOR01056",I010401030301LIODOR0105601419,Liopropoma,dorsoluteum,,,http://md.kkp.go.id/upload/ikan/4875c1081de37bae71238c76eb751ebd.png,,Liopropoma dorsoluteum,,Kakap yellowback,yellowback basslet,betok laut kuning,ikan karang,79,Kakap,KAKA,80,Sea bass,SEAB,134,Liopropoma,LIOP,487,Ikan Karang,4,Pisces (ikan bersirip),1,,LAUT,1,HIAS,1,KONSUMSI,1,Hias Konsumsi,3,TIDAK,2,,TIDAK,2,,ASLI,1,Tidak dilindungi/dilarang,3,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
1171,"010401030301LIOSUS01053",I010401030301LIOSUS0105301312,Liopropoma,susumi,,,,,Liopropoma susumi,,Kerapu hias,"meteor perch; stripe reef basslet; meteor basslet; susumi basslet",baslet susu,ikan karang,79,Kerapu,KERP,91,Grouper,GROU,68,Liopropoma,LIOP,487,Ikan Karang,4,Pisces (ikan bersirip),1,"Least Concern (LC); date assessed 24 March 2015)",LAUT,1,HIAS,1,KONSUMSI,1,Hias Konsumsi,3,TIDAK,2,,TIDAK,2,,ASLI,1,Tidak dilindungi/dilarang,3,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
1172,"010401030301LIOSWA01052",I010401030301LIOSWA0105201314,Liopropoma,swalesi,,,,,Liopropoma swalesi,,Panther titik dua,"swalesi basslet; swales swissguard basslet","baslet swalesi; panther titik dua",ikan karang,79,Swalesi basslet,SWAL,192,Swalesi basslet,SWAL,166,Liopropoma,LIOP,487,Ikan Karang,4,Pisces (ikan bersirip),1,"Least Concern (LC); date assessed 11 March 2015)",LAUT,1,HIAS,1,KONSUMSI,1,Hias Konsumsi,3,TIDAK,2,,TIDAK,2,,ASLI,1,Tidak dilindungi/dilarang,3,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
1173,"010401030301LUTBEN01044",I010401030301LUTBEN0104401313,Lutjanus,bengalensis,QIT,1703202761,http://md.kkp.go.id/upload/ikan/aeb4c5f485286c71314eec90bbe5d6ba.jpg,,Lutjanus bengalensis,,Kakap kuning hindia,bengal snapper,"kunyit; tanda",ikan karang,79,Kakap,KAKA,80,Snapper,SNAP,153,Lutjanus,LUTJ,494,Ikan Karang,4,Pisces (ikan bersirip),1,,LAUT,1,HIAS,1,KONSUMSI,1,Hias Konsumsi,3,TIDAK,2,,TIDAK,2,,ASLI,1,Tidak dilindungi/dilarang,3,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
1174,"010401030301LUTBIG01043",I010401030301LUTBIG0104301315,Lutjanus,biguttatus,,,http://md.kkp.go.id/upload/ikan/c63d2648df610f3bf234d490c2a293dd.7.png,,Lutjanus biguttatus,,Kakap badur,two spot snapper,bitte jateh,ikan karang,79,Kakap,KAKA,80,Snapper,SNAP,153,Lutjanus,LUTJ,494,Ikan Karang,4,Pisces (ikan bersirip),1,,LAUT,1,HIAS,1,KONSUMSI,1,Hias Konsumsi,3,TIDAK,2,,TIDAK,2,,ASLI,1,Tidak dilindungi/dilarang,3,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
1175,"010401030301LUTKAS01029",I010401030301LUTKAS0102901316,Lutjanus,kasmira,LVK,1703202750,,,Lutjanus kasmira,,Kakap bluestripe,bluestripe snapper,"gorara tikus; kunyit; reumoeng; reumong; sala; sasageh",ikan karang,79,Kakap,KAKA,80,Snapper,SNAP,153,Lutjanus,LUTJ,494,Ikan Karang,4,Pisces (ikan bersirip),1,,LAUT,1,HIAS,1,KONSUMSI,1,Hias Konsumsi,3,TIDAK,2,,TIDAK,2,,ASLI,1,Tidak dilindungi/dilarang,3,REVIEW PAKAR,2021-01-01 00:00:00,2021-01-01 00:00:00,2024-07-14 22:01:35.303797+07,2024-07-14 22:01:35.303797+07
